# t[s]	Anzahl N
0	1381
6	1346
12	1214
18	1102
24	1194
30	1118
36	970
42	922
48	984
54	833
60	831
66	881
72	771
78	715
84	621
90	755
96	697
102	507
108	629
114	423
120	432
126	447
132	375
138	358
144	423
150	432
156	447
162	375
168	358
174	423
180	337
186	288
192	306
198	277
204	269
210	311
216	194
222	235
228	183
234	239
240	197
246	166
252	197
258	117
264	156
270	130
276	141
282	116
288	145
294	97
300	135
306	112
312	108
318	89
324	72
330	59
336	74
342	71
348	90
354	62
360	43
366	85
372	82
378	84
384	49
390	44
396	51
402	45
408	50
414	83
420	71
426	47
432	32
438	20
444	19
450	24
456	45
462	21
468	26
474	53
480	17
486	40
492	21
498	35
504	26
510	32
516	27
522	17
528	39
534	8
540	8
546	8
